¿Cual es el nombre de la unidad educativa en la que enseña?.;¿Cuantos años tiene?.;¿Cuantos años de experiencia como maestro tiene?.;¿Que materias imparte en su colegio?.;¿Su colegio cuenta con servicio a internet?.;¿Su colegio cuenta con un aula computacional?.;Marque los requerimientos que cree que hacen falta en su colegio.;Las clases que imparte en aula son:;Permite el uso de celular en clase con fines educativos.;Mencione que red social utiliza con frecuencia para fines académicos (Ejemplo: Facebook, WhatsApp,Telegram, Twitter, Instagram, TikTok, etc.) Mencione uno.;Tiene conocimientos sobre herramientas de Tecnologías de Información y Comunicación (TIC).;¿Que herramienta de enseñanza usa para sus clases constantemente? (ejemplo: Zoom, Clasroom, Moodle,Meet,Canva,etc). Mencione una herramienta.;De que forma aprendio a utilizar las herramientas de Tecnologías de Información y comunicación (TIC).;Con que frecuencia utiliza las herramientas de tecnologías de Información y Comunicación (TIC).;El uso de las tecnologias de Información y Comunicación (TIC) mejoró el aprendizaje en sus estudiantes.;Desearia tener capacitaciones regularmente sobre el uso correcto de Tecnoligías de Información y Comunicación (TIC).;Como califica sus conocimientos básico de ofimática (manejo de Word, Excel, Power Point, etc);Como califica sus conocimientos básicos de informartica (instalar y configurar programas tanto en computadoras y celulares, tranferir archivos entre computadoras y celulares y conexiones a redes wifi).
Gerardo Vargas Vidal;32;5 años;Biologia;Si;Si;herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Práctico;Si;Whatsapp;Si;Moodle;Capacitacion realizadas por el gobierno;Siempre;Si;Si;Bueno;Bueno
Americano Vecinal C;36;15 años;Primaria;No;Si;herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;"Teórico;Práctico";No;WhatsApp;Si;Meet;Capacitacion realizadas por el gobierno;Siempre;Si;Si;Bueno;Regular
SUECIA;38;8;BIOLOGIA;Si;Si;Bibliotecas digital;"Teórico;Práctico";Si;Whatsapp;Si;Meet;Empiricamente;Siempre;Si;Si;Bueno;Regular
Suecia;59;29;Valores, Espiritualidad y Religiones;Si;Si;"herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Bibliotecas digital;capacitacion en TIC(Tecnologias de Informacion y Comunicacion) a los estudiantes";"Teórico;Práctico";Si;Whatsapp, Google;Si;canva;Cursos particulares;Ocasionalmente;Si;Si;Bueno;Regular
Prof. .Jaime Alfonso Escalante Gutierrez;36;10;Comunicacion y Lenguajes.;No;Si;"Computadoras para los estudiantes.;Acceso a internet en todas las aulas.;herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Bibliotecas digital;capacitacion en TIC(Tecnologias de Informacion y Comunicacion) a los estudiantes";Teórico;No;Facebook, tik tok;Si;Clasroom;Cursos particulares;Rara vez;Si;Si;Regular;Bueno
Suecia;37;11;Matemática, biología;Si;Si;"Acceso a internet en todas las aulas.;herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.";"Teórico;Práctico;Laboratorios";No;WhatsApp;Si;Zoom, Meet;Empiricamente;Ocasionalmente;No;Talvez;Bueno;Regular
Americano Vecinal C;58;35;Todas;No;No;"Computadoras para los estudiantes.;Aula computacional.;Acceso a internet en todas las aulas.;herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Bibliotecas digital;capacitacion en TIC(Tecnologias de Informacion y Comunicacion) a los estudiantes";"Teórico;Práctico";No;WhatsApp;Si;Zoom y Clasroom;Cursos particulares;Siempre;Si;Si;Bueno;Bueno
Suecia;40;18;Educación Musical;Si;Si;"herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Bibliotecas digital";"Teórico;Práctico;Talleres";Si;Facebook, WhatsApp, telegram, etc.;Si;Zoom, clasroom;Cursos particulares;Siempre;Si;Si;Bueno;Bueno
Suecia;40;23;Comunicación y Lenguajes;Si;Si;"Computadoras para los estudiantes.;Acceso a internet en todas las aulas.;herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Bibliotecas digital;capacitacion en TIC(Tecnologias de Informacion y Comunicacion) a los estudiantes";"Teórico;Práctico";Si;Facebook, WhatsApp, Tik Tok;Si;Classroom;Cursos particulares;Siempre;Si;Si;Bueno;Regular
Suecia;53;30;Ecnica Tecnologica General;Si;Si;"herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;capacitacion en TIC(Tecnologias de Informacion y Comunicacion) a los estudiantes";"Teórico;Práctico";Si;Facebook, WhatsApp.;No;Zoom, Meet;Capacitacion realizadas por el gobierno;Ocasionalmente;Si;Si;Regular;Regular
SUECIA;36;13;CIENCIAS SOCIALES;Si;Si;"Acceso a internet en todas las aulas.;herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Bibliotecas digital;capacitacion en TIC(Tecnologias de Informacion y Comunicacion) a los estudiantes";"Teórico;Práctico";Si;FACEBOOK, WHATSAPP;Si;Zoom, Clasroon, Moodle, Meet;Cursos particulares;Ocasionalmente;Si;Si;Bueno;Bueno
U. E. Suecia;33;10;Artes plásticas y visuales;No;Si;"Computadoras para los estudiantes.;Aula computacional.;Acceso a internet en todas las aulas.;herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Bibliotecas digital;capacitacion en TIC(Tecnologias de Informacion y Comunicacion) a los estudiantes";"Teórico;Práctico;Talleres;Excusiones con motivos académicos";Si;Facebook;Si;Clasroom;Cursos particulares;Siempre;Si;Talvez;Bueno;Bueno
Bolivia A;58;37;Literatura y lenguajes;Si;Si;"Acceso a internet en todas las aulas.;herramientas como pizarrones inteligentes, proyectores, videograbadoras para guardar cada clase.;Bibliotecas digital";"Teórico;Práctico";;Facebook;Si;Clasroom;Cursos particulares;Siempre;Si;Si;Bueno;Regular
